lncRNA,mature_mirna_id,clipExpNum
NEAT1,hsa-miR-520f-3p,10
NEAT1,hsa-miR-302a-3p,10
NEAT1,hsa-miR-302c-3p,10
NEAT1,hsa-miR-373-3p,10
NEAT1,hsa-miR-520a-3p,10
NEAT1,hsa-miR-520c-3p,10
NEAT1,hsa-miR-520d-3p,10
NEAT1,hsa-miR-520e,10
NEAT1,hsa-miR-520b,10
NEAT1,hsa-miR-302e,4
NEAT1,hsa-miR-1197,9
NEAT1,hsa-miR-516a-5p,8
NEAT1,hsa-miR-376c-3p,7
NEAT1,hsa-miR-1252-5p,0
NEAT1,hsa-miR-4662a-5p,30
NEAT1,hsa-miR-29b-3p,37
NEAT1,hsa-miR-29c-3p,37
NEAT1,hsa-miR-29a-3p,37
NEAT1,hsa-miR-493-5p,36
NEAT1,hsa-miR-3145-3p,31
NEAT1,hsa-miR-323a-3p,6
NEAT1,hsa-miR-493-5p,5
NEAT1,hsa-miR-888-5p,1
NEAT1,hsa-miR-670-3p,2
NEAT1,hsa-miR-140-5p,2
NEAT1,hsa-miR-139-5p,1
NEAT1,hsa-miR-522-3p,6
NEAT1,hsa-miR-224-3p,6
NEAT1,hsa-miR-299-3p,5
NEAT1,hsa-miR-3605-5p,4
NEAT1,hsa-miR-3150a-3p,2
NEAT1,hsa-miR-6763-5p,2
NEAT1,hsa-miR-342-3p,3
NEAT1,hsa-miR-483-3p,3
NEAT1,hsa-miR-505-3p,13
NEAT1,hsa-miR-889-3p,8
NEAT1,hsa-miR-450b-5p,5
NEAT1,hsa-miR-3145-3p,6
NEAT1,hsa-miR-520g-3p,15
NEAT1,hsa-miR-520h,15
NEAT1,hsa-miR-1323,9
NEAT1,hsa-miR-548o-3p,9
NEAT1,hsa-miR-577,6
NEAT1,hsa-miR-6835-3p,8
NEAT1,hsa-miR-876-5p,8
NEAT1,hsa-miR-541-5p,6
NEAT1,hsa-miR-3167,5
NEAT1,hsa-miR-182-5p,6
NEAT1,hsa-miR-6849-5p,6
NEAT1,hsa-miR-3681-5p,6
NEAT1,hsa-miR-892c-5p,11
NEAT1,hsa-miR-4428,4
NEAT1,hsa-miR-5586-5p,2
NEAT1,hsa-miR-3121-3p,2
NEAT1,hsa-miR-580-3p,3
NEAT1,hsa-miR-340-5p,5
NEAT1,hsa-miR-299-5p,7
NEAT1,hsa-miR-3679-5p,7
NEAT1,hsa-miR-129-5p,3
NEAT1,hsa-miR-374a-5p,2
NEAT1,hsa-miR-374b-5p,2
NEAT1,hsa-miR-361-5p,2
NEAT1,hsa-miR-374a-3p,2
NEAT1,hsa-miR-374a-3p,3
NEAT1,hsa-miR-2115-3p,6
NEAT1,hsa-miR-122-5p,6
NEAT1,hsa-miR-144-3p,15
NEAT1,hsa-miR-499b-5p,4
NEAT1,hsa-miR-216a-5p,5
NEAT1,hsa-miR-545-5p,5
NEAT1,hsa-miR-510-5p,3
NEAT1,hsa-miR-3150a-3p,6
NEAT1,hsa-miR-491-5p,4
NEAT1,hsa-miR-6763-5p,4
NEAT1,hsa-miR-520g-3p,4
NEAT1,hsa-miR-520h,4
NEAT1,hsa-miR-888-5p,4
NEAT1,hsa-miR-200b-3p,6
NEAT1,hsa-miR-200c-3p,6
NEAT1,hsa-miR-429,6
NEAT1,hsa-miR-510-5p,10
NEAT1,hsa-miR-656-3p,13
NEAT1,hsa-miR-3679-5p,13
NEAT1,hsa-miR-1185-5p,12
NEAT1,hsa-miR-129-5p,11
NEAT1,hsa-miR-4703-5p,0
NEAT1,hsa-miR-3942-5p,0
NEAT1,hsa-miR-4766-3p,0
NEAT1,hsa-miR-3163,6
NEAT1,hsa-miR-3174,6
NEAT1,hsa-miR-224-5p,19
NEAT1,hsa-miR-1343-3p,2
NEAT1,hsa-miR-6783-3p,2
NEAT1,hsa-miR-483-3p,2
NEAT1,hsa-miR-520a-5p,3
NEAT1,hsa-miR-525-5p,3
NEAT1,hsa-miR-3121-3p,3
NEAT1,hsa-miR-136-5p,9
NEAT1,hsa-miR-122-5p,8
NEAT1,hsa-miR-599,0
NEAT1,hsa-miR-126-5p,2
NEAT1,hsa-miR-892c-5p,3
NEAT1,hsa-miR-2355-3p,7
NEAT1,hsa-miR-676-3p,7
NEAT1,hsa-miR-122-5p,15
NEAT1,hsa-miR-5094,9
NEAT1,hsa-miR-144-3p,1
NEAT1,hsa-miR-1277-5p,3
NEAT1,hsa-miR-499b-5p,11
NEAT1,hsa-miR-216a-5p,11
NEAT1,hsa-miR-212-5p,2
NEAT1,hsa-miR-556-3p,2
NEAT1,hsa-miR-506-5p,3
NEAT1,hsa-miR-577,1
NEAT1,hsa-miR-450b-5p,1
NEAT1,hsa-miR-383-5p,3
NEAT1,hsa-miR-1277-5p,7
NEAT1,hsa-miR-580-3p,4
NEAT1,hsa-miR-331-3p,8
NEAT1,hsa-miR-495-3p,14
NEAT1,hsa-miR-5688,14
NEAT1,hsa-miR-30c-5p,14
NEAT1,hsa-miR-30b-5p,14
NEAT1,hsa-miR-30a-5p,14
NEAT1,hsa-miR-30d-5p,14
NEAT1,hsa-miR-30e-5p,14
NEAT1,hsa-miR-545-5p,13
NEAT1,hsa-miR-556-5p,10
NEAT1,hsa-miR-4637,12
NEAT1,hsa-miR-7153-5p,11
NEAT1,hsa-miR-146a-5p,11
NEAT1,hsa-miR-146b-5p,11
NEAT1,hsa-miR-6884-5p,14
NEAT1,hsa-miR-1197,14
NEAT1,hsa-miR-4428,14
