from,to,type
hsa-miR-206,NR4A2,miRNA-mRNA
hsa-miR-34a-5p,NR4A2,miRNA-mRNA
hsa-miR-29b-3p,SERPINH1,miRNA-mRNA
hsa-miR-29a-3p,SERPINH1,miRNA-mRNA
hsa-miR-29c-3p,SERPINH1,miRNA-mRNA
hsa-miR-296-5p,NGFR,miRNA-mRNA
hsa-miR-133a-3p,NGFR,miRNA-mRNA
hsa-miR-140-3p,MARCKSL1,miRNA-mRNA
hsa-miR-27a-3p,SIGLEC1,miRNA-mRNA
hsa-miR-125b-5p,FAS,miRNA-mRNA
hsa-miR-124-3p,VIM,miRNA-mRNA
hsa-miR-30c-5p,VIM,miRNA-mRNA
hsa-miR-138-5p,VIM,miRNA-mRNA
hsa-miR-30a-5p,VIM,miRNA-mRNA
hsa-miR-506-3p,VIM,miRNA-mRNA
hsa-miR-204-5p,VIM,miRNA-mRNA
hsa-miR-320a,VIM,miRNA-mRNA
hsa-miR-129-5p,VIM,miRNA-mRNA
hsa-miR-134-5p,VIM,miRNA-mRNA
hsa-miR-1-3p,HAND2,miRNA-mRNA
hsa-miR-25-3p,HAND2,miRNA-mRNA
hsa-miR-23b-3p,VCAN,miRNA-mRNA
hsa-miR-181a-5p,COL16A1,miRNA-mRNA
hsa-miR-758-3p,TLR7,miRNA-mRNA
hsa-miR-17-5p,TLR7,miRNA-mRNA
hsa-miR-19a-3p,TLR7,miRNA-mRNA
hsa-miR-29b-3p,COL1A1,miRNA-mRNA
hsa-miR-29c-3p,COL1A1,miRNA-mRNA
hsa-miR-133a-3p,COL1A1,miRNA-mRNA
hsa-miR-185-5p,COL1A1,miRNA-mRNA
hsa-miR-129-5p,COL1A1,miRNA-mRNA
hsa-miR-29c-3p,FGA,miRNA-mRNA
hsa-miR-29a-3p,FGA,miRNA-mRNA
hsa-miR-29b-3p,FGA,miRNA-mRNA
hsa-miR-200c-3p,FN1,miRNA-mRNA
hsa-miR-200b-3p,FN1,miRNA-mRNA
hsa-miR-1-3p,FN1,miRNA-mRNA
hsa-let-7g-5p,FN1,miRNA-mRNA
hsa-miR-140-3p,FN1,miRNA-mRNA
hsa-miR-532-5p,CXCL2,miRNA-mRNA
hsa-miR-22-3p,LGALS9,miRNA-mRNA
hsa-miR-181a-5p,RGS16,miRNA-mRNA
hsa-miR-92a-3p,IKZF1,miRNA-mRNA
hsa-miR-9-5p,RAB34,miRNA-mRNA
hsa-miR-34a-5p,CSF1R,miRNA-mRNA
hsa-miR-22-3p,CSF1R,miRNA-mRNA
hsa-miR-29b-3p,COL4A2,miRNA-mRNA
hsa-miR-29c-3p,COL4A2,miRNA-mRNA
hsa-miR-29a-3p,COL4A2,miRNA-mRNA
hsa-miR-146a-5p,BRCA2,miRNA-mRNA
hsa-miR-17-5p,BRCA2,miRNA-mRNA
hsa-miR-200c-3p,CDH11,miRNA-mRNA
hsa-miR-27b-3p,CDH11,miRNA-mRNA
hsa-miR-125b-5p,BMPR1B,miRNA-mRNA
hsa-miR-22-3p,BMPR1B,miRNA-mRNA
hsa-miR-22-3p,LGALS1,miRNA-mRNA
hsa-miR-200c-3p,NTRK2,miRNA-mRNA
hsa-miR-204-5p,NTRK2,miRNA-mRNA
hsa-miR-22-3p,NTRK2,miRNA-mRNA
hsa-miR-34a-5p,PDGFRB,miRNA-mRNA
hsa-miR-34c-5p,PDGFRB,miRNA-mRNA
hsa-miR-30b-5p,PDGFRB,miRNA-mRNA
hsa-miR-29a-3p,PDGFRB,miRNA-mRNA
hsa-miR-29b-3p,PDGFRB,miRNA-mRNA
hsa-miR-29c-3p,PDGFRB,miRNA-mRNA
hsa-miR-9-5p,PDGFRB,miRNA-mRNA
hsa-miR-24-3p,PDGFRB,miRNA-mRNA
hsa-miR-1-3p,IGF1,miRNA-mRNA
hsa-miR-27a-3p,IGF1,miRNA-mRNA
hsa-miR-483-3p,IGF1,miRNA-mRNA
hsa-let-7e-5p,IGF1,miRNA-mRNA
hsa-let-7i-5p,IGF1,miRNA-mRNA
hsa-miR-199a-3p,IGF1,miRNA-mRNA
hsa-miR-29a-3p,IGF1,miRNA-mRNA
hsa-miR-133a-3p,IGF1,miRNA-mRNA
hsa-miR-18b-5p,IGF1,miRNA-mRNA
hsa-miR-28-5p,IGF1,miRNA-mRNA
hsa-miR-130b-3p,IGF1,miRNA-mRNA
hsa-miR-98-5p,IGF1,miRNA-mRNA
hsa-miR-26b-5p,IGF1,miRNA-mRNA
hsa-miR-129-5p,IGF1,miRNA-mRNA
hsa-miR-128-3p,IGF1,miRNA-mRNA
hsa-miR-26a-5p,IGF1,miRNA-mRNA
hsa-miR-34a-5p,CYBB,miRNA-mRNA
hsa-miR-106b-5p,CYBB,miRNA-mRNA
hsa-miR-148b-3p,CYBB,miRNA-mRNA
hsa-miR-204-5p,CYBB,miRNA-mRNA
hsa-miR-195-5p,ELN,miRNA-mRNA
hsa-miR-181b-5p,ELN,miRNA-mRNA
hsa-miR-29a-3p,ELN,miRNA-mRNA
hsa-miR-138-5p,TWIST2,miRNA-mRNA
hsa-miR-423-5p,TFF1,miRNA-mRNA
hsa-miR-218-5p,TFF1,miRNA-mRNA
hsa-miR-433-3p,GBP2,miRNA-mRNA
hsa-miR-130a-3p,IL18,miRNA-mRNA
hsa-miR-132-3p,MUC13,miRNA-mRNA
hsa-miR-34a-5p,TREM2,miRNA-mRNA
hsa-miR-224-5p,SERPINF2,miRNA-mRNA
hsa-miR-98-5p,CCL5,miRNA-mRNA
hsa-miR-214-3p,CCL5,miRNA-mRNA
hsa-miR-146a-5p,CCL5,miRNA-mRNA
hsa-miR-196a-5p,LSP1,miRNA-mRNA
hsa-miR-182-5p,RARG,miRNA-mRNA
hsa-miR-34c-5p,RARG,miRNA-mRNA
hsa-miR-17-5p,RUNX1,miRNA-mRNA
hsa-miR-20a-5p,RUNX1,miRNA-mRNA
hsa-miR-106a-5p,RUNX1,miRNA-mRNA
hsa-miR-221-3p,RUNX1,miRNA-mRNA
hsa-miR-27b-3p,RUNX1,miRNA-mRNA
hsa-miR-18a-5p,RUNX1,miRNA-mRNA
hsa-miR-9-5p,RUNX1,miRNA-mRNA
hsa-miR-101-3p,RUNX1,miRNA-mRNA
hsa-miR-144-5p,RUNX1,miRNA-mRNA
hsa-miR-181a-5p,RUNX1,miRNA-mRNA
hsa-miR-19b-3p,SOCS1,miRNA-mRNA
hsa-miR-19a-3p,SOCS1,miRNA-mRNA
hsa-miR-30b-5p,SOCS1,miRNA-mRNA
hsa-let-7i-5p,SOCS1,miRNA-mRNA
hsa-miR-122-5p,SOCS1,miRNA-mRNA
hsa-miR-30d-5p,SOCS1,miRNA-mRNA
hsa-miR-221-3p,SOCS1,miRNA-mRNA
hsa-miR-142-5p,SOCS1,miRNA-mRNA
hsa-let-7a-5p,CCR7,miRNA-mRNA
hsa-miR-199a-5p,CCR7,miRNA-mRNA
hsa-miR-133a-3p,MMP14,miRNA-mRNA
hsa-miR-24-3p,MMP14,miRNA-mRNA
hsa-miR-22-3p,MMP14,miRNA-mRNA
hsa-miR-10a-5p,MMP14,miRNA-mRNA
hsa-miR-193a-3p,MMP14,miRNA-mRNA
hsa-miR-150-5p,MMP14,miRNA-mRNA
hsa-miR-133b,MMP14,miRNA-mRNA
hsa-miR-486-5p,CIT,miRNA-mRNA
hsa-miR-490-3p,ABCC2,miRNA-mRNA
hsa-miR-23a-3p,HOXB4,miRNA-mRNA
hsa-miR-214-3p,ALPK2,miRNA-mRNA
hsa-miR-195-5p,CCL4,miRNA-mRNA
hsa-miR-218-5p,LAMB3,miRNA-mRNA
hsa-miR-29c-3p,COL15A1,miRNA-mRNA
hsa-miR-199a-5p,EDN1,miRNA-mRNA
hsa-miR-1-3p,EDN1,miRNA-mRNA
hsa-miR-98-5p,EDN1,miRNA-mRNA
hsa-miR-125a-5p,EDN1,miRNA-mRNA
hsa-miR-196a-5p,HMOX1,miRNA-mRNA
hsa-miR-122-5p,HMOX1,miRNA-mRNA
hsa-miR-24-3p,HMOX1,miRNA-mRNA
hsa-miR-218-5p,HMOX1,miRNA-mRNA
hsa-miR-449a,MFAP4,miRNA-mRNA
hsa-miR-490-3p,PAPPA,miRNA-mRNA
hsa-miR-214-3p,PAPPA,miRNA-mRNA
hsa-miR-141-3p,PAPPA,miRNA-mRNA
hsa-miR-146a-5p,SLPI,miRNA-mRNA
hsa-miR-29a-3p,GPR85,miRNA-mRNA
hsa-let-7i-5p,ASCL1,miRNA-mRNA
hsa-miR-29c-3p,COL3A1,miRNA-mRNA
hsa-miR-29b-3p,COL3A1,miRNA-mRNA
hsa-miR-29a-3p,COL3A1,miRNA-mRNA
hsa-let-7b-5p,COL3A1,miRNA-mRNA
hsa-let-7d-5p,COL3A1,miRNA-mRNA
hsa-miR-17-5p,IGFBP3,miRNA-mRNA
hsa-miR-125b-5p,SMO,miRNA-mRNA
hsa-miR-326,SMO,miRNA-mRNA
hsa-miR-324-5p,SMO,miRNA-mRNA
hsa-miR-338-3p,SMO,miRNA-mRNA
hsa-miR-218-5p,SMO,miRNA-mRNA
hsa-miR-24-3p,AURKB,miRNA-mRNA
hsa-let-7a-5p,AURKB,miRNA-mRNA
hsa-let-7e-5p,AURKB,miRNA-mRNA
hsa-let-7i-5p,AURKB,miRNA-mRNA
hsa-miR-24-3p,FGFR3,miRNA-mRNA
hsa-miR-152-3p,FGFR3,miRNA-mRNA
hsa-miR-425-5p,FGFR3,miRNA-mRNA
hsa-miR-20b-5p,EPHB4,miRNA-mRNA
hsa-miR-29a-3p,FGG,miRNA-mRNA
hsa-miR-29b-3p,FGG,miRNA-mRNA
hsa-miR-144-3p,FGG,miRNA-mRNA
hsa-miR-29a-3p,SFRP2,miRNA-mRNA
hsa-miR-218-5p,SFRP2,miRNA-mRNA
hsa-miR-299-5p,SPP1,miRNA-mRNA
hsa-miR-181b-5p,SPP1,miRNA-mRNA
hsa-miR-4262,SPP1,miRNA-mRNA
hsa-miR-221-3p,CORO1A,miRNA-mRNA
hsa-miR-222-3p,CORO1A,miRNA-mRNA
hsa-miR-24-3p,CORO1A,miRNA-mRNA
hsa-miR-124-3p,CCN2,miRNA-mRNA
hsa-miR-18a-5p,CCN2,miRNA-mRNA
hsa-miR-205-5p,CCN2,miRNA-mRNA
hsa-miR-18b-5p,CCN2,miRNA-mRNA
hsa-miR-133b,CCN2,miRNA-mRNA
hsa-miR-26b-5p,CCN2,miRNA-mRNA
hsa-miR-133a-3p,CCN2,miRNA-mRNA
hsa-miR-483-3p,CCN2,miRNA-mRNA
hsa-miR-30c-5p,CCN2,miRNA-mRNA
hsa-miR-146a-5p,CFH,miRNA-mRNA
hsa-miR-124-3p,GRIA1,miRNA-mRNA
hsa-miR-320a,AQP1,miRNA-mRNA
